Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
02/08/2022 5:58:43,"458","23,3","51","984"
02/08/2022 6:03:43,"478","23,3","51","984"
02/08/2022 6:08:43,"487","23,3","51","984"
02/08/2022 6:13:43,"465","23,3","51","984"
02/08/2022 6:18:43,"476","23,3","51","984"
02/08/2022 6:23:43,"473","23,3","51","984"
02/08/2022 6:28:43,"463","23,3","51","984"
02/08/2022 6:33:43,"479","23,3","51","984"
02/08/2022 6:38:43,"479","23,3","51","984"
02/08/2022 6:43:43,"478","23,3","51","984"
02/08/2022 6:48:43,"482","23,3","52","984"
02/08/2022 6:53:43,"468","23,3","52","984"
02/08/2022 6:58:43,"479","23,3","52","984"
02/08/2022 7:03:43,"481","23,3","52","984"
02/08/2022 7:08:43,"479","23,3","52","984"
02/08/2022 7:13:43,"481","23,5","51","984"
02/08/2022 7:18:43,"467","23,5","51","984"
02/08/2022 7:23:43,"505","23,6","51","984"
02/08/2022 7:28:43,"530","23,7","51","984"
02/08/2022 7:33:43,"522","23,8","51","984"
02/08/2022 7:38:43,"514","23,9","51","984"
02/08/2022 7:43:43,"521","24,1","50","984"
02/08/2022 7:48:43,"500","24,1","50","984"
02/08/2022 7:53:43,"533","24,2","50","984"
02/08/2022 7:58:43,"530","24,3","50","984"
02/08/2022 8:03:43,"518","24,4","50","984"
02/08/2022 8:08:43,"526","24,5","50","984"
02/08/2022 8:13:43,"514","24,5","49","984"
02/08/2022 8:18:43,"536","24,6","49","984"
02/08/2022 8:23:43,"549","24,8","49","984"
02/08/2022 8:28:43,"535","25,0","49","984"
02/08/2022 8:33:43,"548","25,2","48","984"
02/08/2022 8:38:43,"550","25,4","48","984"
02/08/2022 8:43:43,"566","25,6","47","984"
02/08/2022 8:48:43,"573","25,8","47","984"
02/08/2022 8:53:43,"579","25,9","47","984"
02/08/2022 8:58:43,"585","26,0","47","984"
02/08/2022 9:03:43,"586","26,0","47","984"
02/08/2022 9:08:43,"631","26,1","47","984"
02/08/2022 9:13:43,"638","26,1","47","984"
02/08/2022 9:18:43,"633","26,1","47","984"
02/08/2022 9:23:43,"679","26,1","47","984"
02/08/2022 9:28:43,"687","26,2","47","984"
02/08/2022 9:33:43,"692","26,2","47","984"
02/08/2022 9:38:43,"711","26,3","47","984"
02/08/2022 9:43:43,"712","26,3","47","984"
02/08/2022 9:48:43,"737","26,3","47","984"
02/08/2022 9:53:43,"767","26,3","47","984"
02/08/2022 9:58:43,"743","26,3","46","984"
02/08/2022 10:03:43,"731","26,3","46","984"
02/08/2022 10:08:43,"701","26,2","46","984"
02/08/2022 10:13:43,"673","26,1","46","984"
02/08/2022 10:18:43,"673","26,1","46","984"
02/08/2022 10:23:43,"668","26,0","46","984"
02/08/2022 10:28:43,"667","26,0","46","984"
02/08/2022 10:33:43,"645","25,9","46","984"
02/08/2022 10:38:43,"647","25,9","46","984"
02/08/2022 10:43:43,"641","25,9","46","984"
02/08/2022 10:48:43,"636","25,8","46","984"
02/08/2022 10:53:43,"634","25,8","46","984"
02/08/2022 10:58:43,"639","25,8","46","984"
02/08/2022 11:03:43,"641","25,8","46","984"
02/08/2022 11:08:43,"621","25,8","46","984"
02/08/2022 11:13:43,"634","25,7","47","984"
02/08/2022 11:18:43,"678","25,8","47","984"
02/08/2022 11:23:43,"686","25,8","46","984"
02/08/2022 11:28:43,"678","25,8","46","984"
02/08/2022 11:33:43,"641","25,8","46","984"
02/08/2022 11:38:43,"612","25,7","46","984"
02/08/2022 11:43:43,"575","25,6","46","984"
02/08/2022 11:48:43,"561","25,5","46","984"
02/08/2022 11:53:43,"560","25,5","46","984"
02/08/2022 11:58:43,"521","25,4","45","984"
02/08/2022 12:03:43,"513","25,4","45","984"
02/08/2022 12:08:43,"499","25,4","45","984"
02/08/2022 12:13:43,"497","25,3","45","984"
02/08/2022 12:18:43,"495","25,4","45","984"
02/08/2022 12:23:43,"545","25,4","45","984"
02/08/2022 12:28:43,"574","25,5","45","984"
02/08/2022 12:33:43,"651","25,7","45","984"
02/08/2022 12:38:43,"675","25,8","45","984"
02/08/2022 12:43:43,"682","25,9","45","984"
02/08/2022 12:48:43,"710","26,0","44","984"
02/08/2022 12:53:43,"716","26,1","44","983"
02/08/2022 12:58:43,"705","26,3","44","983"
02/08/2022 13:03:43,"724","26,4","44","983"
02/08/2022 13:08:43,"699","26,5","44","983"
02/08/2022 13:13:43,"726","26,6","43","983"
02/08/2022 13:18:43,"753","26,6","43","983"
02/08/2022 13:23:43,"727","26,6","43","983"
02/08/2022 13:28:43,"735","26,6","43","983"
02/08/2022 13:33:43,"774","26,6","43","983"
02/08/2022 13:38:43,"803","26,6","44","983"
02/08/2022 13:43:43,"883","26,5","44","983"
02/08/2022 13:48:43,"829","26,4","44","983"
02/08/2022 13:53:43,"861","26,4","44","983"
02/08/2022 13:58:43,"876","26,3","44","983"
02/08/2022 14:03:43,"892","26,3","44","983"
02/08/2022 14:08:43,"916","26,2","44","983"
02/08/2022 14:13:43,"938","26,2","44","983"
02/08/2022 14:18:43,"952","26,2","44","983"
02/08/2022 14:23:43,"946","26,2","44","983"
02/08/2022 14:28:43,"973","26,1","44","983"
02/08/2022 14:33:43,"950","26,1","44","983"
02/08/2022 14:38:43,"880","26,2","44","983"
02/08/2022 14:43:43,"837","26,2","43","983"
02/08/2022 14:48:43,"747","26,3","42","983"
02/08/2022 14:53:43,"720","26,4","42","983"
02/08/2022 14:58:43,"689","26,4","42","983"
02/08/2022 15:03:43,"684","26,4","41","983"
02/08/2022 15:08:43,"650","26,5","41","983"
02/08/2022 15:13:43,"640","26,6","41","983"
02/08/2022 15:18:43,"635","26,6","41","983"
02/08/2022 15:23:43,"629","26,7","40","983"
02/08/2022 15:28:43,"627","26,8","40","982"
02/08/2022 15:33:43,"612","26,9","40","982"
02/08/2022 15:38:43,"565","27,0","40","982"
02/08/2022 15:43:43,"586","27,1","39","982"
02/08/2022 15:48:43,"594","27,1","39","982"
02/08/2022 15:53:43,"624","27,1","39","982"
02/08/2022 15:58:43,"610","27,0","39","982"
02/08/2022 16:03:43,"588","27,0","39","982"
02/08/2022 16:08:43,"635","27,0","39","982"
02/08/2022 16:13:43,"619","26,9","39","982"
02/08/2022 16:18:43,"650","26,8","40","982"
02/08/2022 16:23:43,"691","26,7","40","982"
02/08/2022 16:28:43,"718","26,7","40","982"
02/08/2022 16:33:43,"672","26,7","40","982"
02/08/2022 16:38:43,"649","26,8","40","982"
02/08/2022 16:43:43,"603","26,8","40","982"
02/08/2022 16:48:43,"607","26,8","41","982"
02/08/2022 16:53:43,"566","26,9","41","982"
02/08/2022 16:58:43,"545","26,9","41","982"
02/08/2022 17:03:43,"547","26,9","41","982"
02/08/2022 17:08:43,"500","26,9","41","982"
02/08/2022 17:13:43,"508","27,0","41","982"
02/08/2022 17:18:43,"515","26,8","41","982"
02/08/2022 17:23:43,"512","26,4","41","982"
02/08/2022 17:28:43,"490","26,2","42","982"
02/08/2022 17:33:43,"500","25,9","42","982"
02/08/2022 17:38:43,"495","25,7","43","982"
02/08/2022 17:43:43,"475","25,5","43","982"
02/08/2022 17:48:43,"489","25,4","43","982"
02/08/2022 17:53:43,"484","25,2","44","982"
02/08/2022 17:58:43,"492","25,1","44","982"
02/08/2022 18:03:43,"474","25,0","44","982"
02/08/2022 18:08:43,"483","24,9","44","982"
02/08/2022 18:13:43,"477","24,8","44","982"
02/08/2022 18:18:43,"466","24,7","44","982"
02/08/2022 18:23:43,"473","24,7","45","982"
02/08/2022 18:28:43,"478","24,6","45","982"
02/08/2022 18:33:43,"473","24,5","45","982"
02/08/2022 18:38:43,"469","24,5","45","982"
02/08/2022 18:43:43,"455","24,4","45","982"
02/08/2022 18:48:43,"474","24,4","45","982"
02/08/2022 18:53:43,"464","24,3","45","982"
02/08/2022 18:58:43,"465","24,3","45","982"
02/08/2022 19:03:43,"454","24,2","45","982"
02/08/2022 19:08:43,"453","24,2","46","982"
02/08/2022 19:13:43,"445","24,1","46","981"
02/08/2022 19:18:43,"448","24,1","46","981"
02/08/2022 19:23:43,"463","24,1","46","981"
02/08/2022 19:28:43,"447","24,0","46","981"
02/08/2022 19:33:43,"455","24,0","46","981"
02/08/2022 19:38:43,"455","24,0","46","981"
02/08/2022 19:43:43,"444","24,0","46","981"
02/08/2022 19:48:43,"461","24,0","46","981"
02/08/2022 19:53:43,"455","24,0","46","981"
02/08/2022 19:58:43,"451","24,0","46","981"
02/08/2022 20:03:43,"452","24,0","46","982"
02/08/2022 20:08:43,"467","24,0","47","981"
02/08/2022 20:13:43,"461","24,0","47","981"
02/08/2022 20:18:43,"449","24,0","47","981"
02/08/2022 20:23:43,"449","24,0","47","981"
02/08/2022 20:28:43,"457","24,1","47","981"
02/08/2022 20:33:43,"449","24,1","47","981"
02/08/2022 20:38:43,"456","24,0","47","981"
02/08/2022 20:43:43,"450","24,1","47","981"
02/08/2022 20:48:43,"451","24,0","47","981"
02/08/2022 20:53:43,"451","24,1","47","981"
02/08/2022 20:58:43,"444","24,1","47","981"
02/08/2022 21:03:43,"457","24,1","47","981"
